Satellite Name,Line Number 1,Satellite Catalog Number,Elset Classification,International Designator,Element Set Epoch (UTC),1st Derivative of Mean Motion,2nd Derivative of Mean Motion,B* Drag Term,Element Set Type,Element Number,Checksum 1,Line Number 2,Satellite Catalog Number 2,Inclination (deg),RA of Ascending Node (deg),Eccentricity,Argument of Perigee (deg),Mean Anomaly (deg),Mean Motion (rev/day),Revolution Number at Epoch,Checksum 2
25544,1,25544,U,98067A,23001.26991367,.00015968,00000-0,28903-3,0,999,3,2,25544,51.6448,75.3411,0005204,209.5406,257.0907,15.49811030,37590,4
25544,1,25544,U,98067A,23001.53250807,.00016704,00000-0,30181-3,0,999,0,2,25544,51.6444,74.0407,0005211,211.7305,280.9843,15.49823312,37594,6
25544,1,25544,U,98067A,23001.72830086,.00017166,00000-0,30983-3,0,999,7,2,25544,51.6445,73.0716,0005153,212.0396,293.8042,15.49832078,37597,4
25544,1,25544,U,98067A,23002.03616123,.00017186,00000-0,31006-3,0,999,5,2,25544,51.6446,71.5466,0005164,213.3191,211.3400,15.49842962,37602,2
25544,1,25544,U,98067A,23002.23650670,.00017344,00000-0,31276-3,0,999,7,2,25544,51.6447,70.5542,0005129,214.4037,248.8124,15.49850707,37605,6
25544,1,25544,U,98067A,23002.42722733,.00017455,00000-0,31461-3,0,999,7,2,25544,51.6446,69.6092,0005127,215.2634,232.7755,15.49857705,37608,4
25544,1,25544,U,98067A,23002.56654894,.00017694,00000-0,31875-3,0,999,8,2,25544,51.6448,68.9190,0005029,218.0405,287.8557,15.49863597,37610,5
25544,1,25544,U,98067A,23002.92458333,.00017778,00000-0,32007-3,0,999,9,2,25544,51.6447,67.1452,0005110,217.4415,127.4401,15.49876780,37615,1
25544,1,25544,U,98067A,23003.00284243,.00017781,00000-0,32009-3,0,999,2,2,25544,51.6447,66.7575,0005123,217.4837,204.3380,15.49879628,37617,1
25544,1,25544,U,98067A,23003.19410836,.00013936,00000-0,25279-3,0,999,0,2,25544,51.6444,65.8124,0004902,220.0274,189.6486,15.49874067,37620,5
25544,1,25544,U,98067A,23003.46602144,.00016833,00000-0,30337-3,0,999,5,2,25544,51.6453,64.4633,0004820,220.4826,267.3680,15.49890638,37624,7
25544,1,25544,U,98067A,23003.52502237,.00016767,00000-0,30219-3,0,999,9,2,25544,51.6453,64.1711,0005004,218.5032,238.7671,15.49892242,37625,9
25544,1,25544,U,98067A,23003.89010417,.00015869,00000-0,28640-3,0,999,0,2,25544,51.6446,62.3628,0005112,222.8238,112.7977,15.49900198,37630,0
25544,1,25544,U,98067A,23004.30293251,.00014929,00000-0,26986-3,0,999,3,2,25544,51.6446,60.3181,0004990,224.8912,255.6676,15.49908045,37637,5
25544,1,25544,U,98067A,23004.36430639,.00014832,00000-0,26815-3,0,999,6,2,25544,51.6446,60.0141,0004980,225.5107,237.7172,15.49909310,37638,0
25544,1,25544,U,98067A,23004.55941627,.00014231,00000-0,25762-3,0,999,4,2,25544,51.6447,59.0482,0004902,225.7088,246.8802,15.49912485,37641,3
25544,1,25544,U,98067A,23004.62154341,.00013091,00000-0,23767-3,0,999,7,2,25544,51.6449,58.7410,0004956,225.1257,234.3356,15.49910357,37642,6
25544,1,25544,U,98067A,23004.92435185,.00013752,00000-0,24914-3,0,999,7,2,25544,51.6449,57.2399,0005006,227.1136,123.0483,15.49921225,37646,6
25544,1,25544,U,98067A,23005.19763766,.00013741,00000-0,24889-3,0,999,5,2,25544,51.6447,55.8862,0004939,228.2736,207.7579,15.49929095,37651,0
25544,1,25544,U,98067A,23005.20304940,.00013764,00000-0,24928-3,0,999,1,2,25544,51.6447,55.8594,0004934,228.5547,237.6931,15.49929361,37651,0
25544,1,25544,U,98067A,23005.39537492,.00013843,00000-0,25062-3,0,999,9,2,25544,51.6447,54.9065,0004934,229.3624,230.7268,15.49935378,37654,3
25544,1,25544,U,98067A,23005.53209984,.00013957,00000-0,25257-3,0,999,9,2,25544,51.6449,54.2301,0004890,228.3828,275.1092,15.49940129,37656,7
25544,1,25544,U,98067A,23005.85973553,.00014065,00000-0,25437-3,0,999,5,2,25544,51.6451,52.6066,0004815,230.2771,302.5672,15.49950216,37661,9
